cluster_1,cluster_2,cluster_3,image_id
0,3,0,1
2,0,2,2
1,3,2,3
2,1,0,4
0,0,1,5
4,1,1,6
2,3,1,7
1,2,1,8
0,3,0,9
4,3,2,10
0,3,0,11
2,2,2,12
2,1,2,13
1,2,1,14
2,3,2,15
2,2,2,16
2,1,1,17
0,2,0,18
1,2,0,19
3,1,0,20
4,1,0,21
4,3,2,22
2,3,0,23
2,2,0,24
2,0,0,25
0,1,1,26
2,0,1,27
3,3,1,28
4,1,0,29
4,2,2,30
1,3,1,31
0,3,0,32
0,0,0,33
4,0,1,34
2,1,0,35
4,2,1,36
0,1,2,37
3,0,2,38
1,2,1,39
3,0,1,40
3,3,0,41
0,1,2,42
3,3,2,43
1,2,1,44
4,0,0,45
4,1,2,46
1,2,1,47
0,2,1,48
3,3,1,49
2,3,1,50
2,0,2,51
4,0,0,52
1,1,1,53
0,1,1,54
0,3,0,55
1,2,0,56
1,1,0,57
2,0,2,58
1,1,0,59
3,0,2,60
3,1,0,61
1,0,0,62
1,1,0,63
4,1,0,64
2,2,1,65
0,2,0,66
1,0,2,67
4,0,1,68
1,1,1,69
3,3,0,70
3,2,0,71
4,0,1,72
3,0,1,73
2,0,1,74
0,3,2,75
1,0,2,76
4,2,1,77
0,1,1,78
1,1,2,79
4,0,2,80
1,1,2,81
1,0,2,82
1,3,1,83
2,1,1,84
1,2,0,85
4,3,0,86
4,1,0,87
1,2,0,88
3,3,2,89
1,1,0,90
4,3,0,91
2,3,1,92
3,1,0,93
1,0,0,94
1,2,2,95
2,3,2,96
1,1,0,97
0,2,0,98
0,0,1,99
2,1,0,100
2,2,1,101
1,1,0,102
1,2,1,103
1,2,1,104
3,0,2,105
3,3,2,106
2,0,1,107
1,3,2,108
4,1,1,109
0,2,0,110
1,0,1,111
3,1,1,112
1,1,1,113
1,2,0,114
1,1,2,115
3,0,2,116
3,2,1,117
4,3,2,118
3,0,2,119
1,1,1,120
3,0,1,121
0,2,1,122
1,2,0,123
2,3,1,124
2,0,2,125
3,3,2,126
4,3,0,127
3,1,0,128
4,1,2,129
1,2,2,130
0,0,1,131
3,0,2,132
2,1,1,133
1,2,0,134
3,1,1,135
3,3,1,136
1,2,0,137
4,2,0,138
4,1,2,139
4,0,1,140
3,3,1,141
2,1,2,142
2,1,1,143
0,2,0,144
2,0,1,145
2,0,0,146
2,2,1,147
2,3,2,148
2,3,1,149
2,1,2,150
1,0,1,151
1,3,2,152
0,2,1,153
1,2,2,154
3,0,0,155
3,0,2,156
4,1,0,157
3,1,0,158
2,2,1,159
2,3,2,160
0,0,1,161
0,2,0,162
2,3,2,163
0,0,2,164
4,0,2,165
3,1,1,166
0,2,1,167
4,1,0,168
3,2,2,169
2,3,1,170
1,0,2,171
4,0,2,172
1,2,2,173
2,0,0,174
4,2,1,175
4,0,2,176
4,1,2,177
4,1,2,178
4,3,0,179
1,3,1,180
0,3,1,181
4,3,1,182
0,3,0,183
3,2,2,184
0,0,1,185
2,0,2,186
4,2,1,187
4,0,2,188
2,3,0,189
3,0,2,190
0,1,2,191
2,0,2,192
4,0,2,193
3,1,1,194
0,1,1,195
3,1,1,196
0,3,2,197
4,3,0,198
0,3,0,199
0,3,1,200
3,0,0,201
1,2,0,202
3,0,2,203
2,2,0,204
2,1,1,205
2,1,1,206
3,0,2,207
0,3,0,208
3,0,2,209
2,1,0,210
1,0,2,211
3,0,2,212
1,2,0,213
3,3,0,214
3,0,2,215
0,1,1,216
3,2,2,217
1,2,0,218
3,0,2,219
4,2,2,220
4,1,1,221
3,1,0,222
3,0,1,223
1,1,2,224
1,0,2,225
1,3,2,226
4,3,2,227
2,3,1,228
4,3,0,229
1,3,1,230
1,1,2,231
1,3,0,232
0,3,1,233
2,3,2,234
2,3,1,235
4,2,1,236
3,2,1,237
2,0,2,238
1,1,1,239
3,0,2,240
0,1,1,241
3,2,2,242
4,3,0,243
4,1,0,244
4,2,0,245
0,0,0,246
2,3,2,247
4,2,1,248
0,0,1,249
2,1,1,250
2,0,0,251
2,1,1,252
2,3,1,253
4,1,1,254
3,2,2,255
4,2,2,256
1,3,0,257
0,1,0,258
4,2,1,259
4,0,2,260
0,2,0,261
0,2,1,262
0,3,2,263
0,3,1,264
0,1,2,265
1,2,1,266
3,0,2,267
2,0,1,268
3,0,2,269
2,3,2,270
1,3,1,271
3,3,0,272
4,2,2,273
3,0,2,274
0,2,0,275
1,3,2,276
0,2,0,277
1,1,1,278
2,0,2,279
2,2,2,280
2,2,0,281
2,0,2,282
3,0,0,283
0,2,0,284
4,3,0,285
1,2,0,286
1,1,1,287
4,3,0,288
2,1,2,289
2,3,1,290
0,3,0,291
4,2,1,292
2,1,1,293
2,2,2,294
1,1,1,295
4,1,2,296
4,0,0,297
3,0,1,298
1,1,0,299
3,0,2,300
4,2,1,301
4,1,0,302
4,3,2,303
2,1,1,304
3,2,0,305
0,3,1,306
2,3,2,307
4,2,2,308
4,0,2,309
3,0,2,310
4,1,2,311
3,2,2,312
3,2,1,313
1,2,0,314
2,2,0,315
3,2,0,316
3,0,1,317
1,0,0,318
2,3,2,319
2,1,1,320
3,2,1,321
2,3,2,322
4,1,2,323
3,1,0,324
4,0,2,325
3,2,0,326
2,3,1,327
1,3,1,328
2,3,2,329
1,3,2,330
1,3,2,331
4,0,1,332
2,0,0,333
1,0,2,334
0,1,2,335
3,2,2,336
3,1,1,337
3,0,2,338
1,0,1,339
3,2,2,340
4,1,1,341
2,1,1,342
0,2,0,343
4,2,2,344
4,3,2,345
3,2,0,346
1,0,1,347
1,1,1,348
1,0,1,349
4,0,2,350
0,2,0,351
3,1,2,352
3,3,2,353
4,2,2,354
4,2,2,355
0,2,0,356
3,0,1,357
1,2,0,358
3,0,0,359
4,0,2,360
