image_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,1.1680633,-1.1710784,0.13484176,-0.42889556,0.6723797,-1.290068,-0.025088321,0.363671,-1.2007447,0.7808614,-1.324347,-2.2124307,-0.30605605,-0.21193087,0.79281235,0.8685122,1.3381833,0.05353798,0.03963219,-1.4913543,-1.536677,0.678991,0.52955496,1.4558069,1.598781,0.4074249,0.20758978,1.6601477,0.68865836,0.6979479,0.5164788,-0.20232733,-0.23875725,0.25645706,1.2319301,-1.2272304,1.1243278,1.3463297,1.0835687,0.8987082,-0.7246044,-0.13116498,0.8616886,-0.37843314,-0.861653,-0.46554598,0.9859351,-0.68589985,-0.83951503,-0.7203766,0.12111028,0.2591982,-0.78099823,0.6795684,-0.8354889,0.48205224,1.6758343,0.32265687,-0.9933659,-0.48177588,0.5499112,-1.0228136,0.6234829,2.096165,-0.28382564,0.7201712,0.16699518,1.0290896,1.0608417,-0.16560282,-0.15310453,-0.7946539,0.6505896,-0.5576812,0.33692074,1.0766428,-0.24322426,0.4523499,0.22067335,-0.8725964,-0.13533154,0.88647914,0.6582848,1.6763363,-0.19213653,-0.5230358,2.1489182,-1.8677537,-1.7927666,1.8309559,0.81570137,-0.81824404,-0.76875067,-1.0092796,-0.5541596,-0.060716026,-0.19110888,-0.96604776,-0.19338977,-0.13319983,-1.9609779,2.568047,0.050572533,-0.35405323,0.70020986,-0.053490594,-2.8397474,-0.32963765,-0.1044216,-1.019158,-0.908589,0.17122138,0.6321775,-0.3057607,0.39009598,-0.45395336,-0.5081873,0.4156882,0.32208312,-0.8883771,0.86846787,-0.008307522,-0.31164598,0.66070753,0.2336211,-1.2662225,-0.5943863,-1.2342114
2,0.18877879,-2.2236083,-0.39237723,-0.3740543,-0.4096382,-1.3483702,1.1962764,1.3503367,-1.1792284,0.5098676,-1.3685563,-1.6590858,0.018741235,-0.4738219,0.033862427,0.9187261,0.5163859,-0.8192811,-1.2708019,-0.40197852,-0.5038868,0.73896825,-1.4291154,0.26609403,0.75878865,-0.03324254,0.28799558,1.0440859,0.20475358,0.71477693,-0.09871219,0.6978437,-0.12185371,-0.46900257,-0.66185147,-1.6528574,-0.63544255,0.53983915,0.75134754,-1.3942186,0.44081077,0.34967467,-0.07065709,0.15424328,1.2255164,-0.13516213,0.43915543,1.2230498,-1.377306,0.64132226,-0.5226933,1.4313624,-0.025648251,-0.5861153,-0.7239649,0.036996707,0.61171997,0.15086566,-0.072730154,-0.18160899,-0.29871044,0.20149918,-0.81841725,2.8935418,0.78886825,0.03245409,0.012515545,-0.97037745,0.027782798,-1.6304723,-0.7344675,-0.4444529,0.045811333,-1.5022326,-0.3202449,-1.0374532,-1.5230205,-0.17512526,0.8375228,-0.13574916,-0.6121556,-0.29215482,-0.12509274,0.1317576,0.8819878,-1.7622954,0.59350425,-0.8436067,-0.8875147,0.19113298,0.5837891,0.44329482,-0.8615728,1.0579983,0.9349193,-1.0598928,1.5581603,-0.89740133,-0.97252786,-0.09878686,1.0108762,1.0888789,-0.37429628,0.5459228,-1.1329495,0.99209744,-0.6333014,-1.6908435,-0.70797557,1.1654433,-0.7108159,0.46691954,1.6320345,0.25457972,-0.4437716,-0.9416908,-0.36040485,0.8548065,-1.3362527,-0.9982188,1.4180318,1.6758581,-0.20011918,0.9686729,-1.1306924,-1.1055377,-0.23395748,-1.1551611
3,0.98589194,-1.4503292,0.8310296,-0.59054834,0.9088781,-1.920051,-0.62388754,-0.74431294,-0.78165776,-1.1044807,0.17741355,-0.7481143,-1.0017849,-0.5334755,0.65535855,0.04582686,0.92792416,0.85755324,0.056809742,-0.04151828,-1.5660686,0.8582725,-0.99246484,-0.97218466,1.2005099,0.27195594,-0.7230861,1.7844781,-0.40601587,0.9277254,1.0703163,0.25862172,-0.173144,0.6215061,0.15647456,0.2164321,0.68217397,0.10912739,-0.58015555,1.350106,-1.3236831,0.60038567,1.3080174,0.51002705,-1.0547189,-1.2177762,-1.2957876,1.7511759,0.48867494,1.0549928,2.4427314,-1.1387293,0.9549779,-0.20370473,0.17562129,-0.969185,0.24945764,0.8586469,-1.3637553,-0.5011753,-0.4038609,-0.9177022,-1.0203122,2.956983,0.6812055,0.5545862,-0.41787,-0.82103443,0.25608617,0.33166623,0.95411336,-2.8382585,1.147936,-1.0958265,-0.02357179,0.5948982,1.1494721,1.1076576,-0.4944251,0.49064887,-1.0639133,0.81525075,0.21345592,1.6868483,-0.09878721,-1.0864698,0.88897735,-1.373112,-0.43290728,1.0179695,0.74355316,0.46417165,-1.9212565,-0.55668306,0.021982372,-0.39729917,-0.54786855,-1.3937012,-1.011611,-0.8161028,0.73305124,0.86782855,0.2276787,-1.042116,-0.42340678,0.2119991,-0.08528158,-1.6383877,0.40765467,-2.498356,-0.40797347,0.10897598,-0.00071977824,0.9496987,2.5760615,-0.28419527,0.79235053,0.68732023,0.5063938,0.31976828,0.45657194,-1.7758359,0.14660263,0.065765254,0.4257201,-1.5333472,-0.27602214,0.53709215
4,1.4131376,-0.6744224,-1.8059434,0.83192915,0.6465285,-1.0131484,-0.28811556,1.5120294,1.4109868,0.1419011,-1.3298649,-1.3379374,-0.13420472,-1.1668004,-1.0724574,-0.4163707,-0.96362746,0.21460037,-0.14107935,-0.98206973,0.5494009,0.5863235,-1.8432772,0.97001934,-0.3405598,0.92118627,0.40997607,-0.21349514,-0.7546094,-1.4425851,-0.43777385,3.3181014,-0.48254308,-0.2276999,-0.8080636,-1.8522811,-0.58137995,-0.45836234,0.082400106,-1.8821003,0.55423915,0.10626195,-0.47342524,-1.2226323,-1.6075991,0.9532027,1.3720356,0.51002014,-0.46277624,0.7551012,0.34206617,0.35314956,-0.09258134,0.15703934,2.601895,-0.34075102,-0.685016,-1.8531847,0.768486,-0.4367332,-1.5657908,-0.4355405,0.19333097,1.911216,2.086865,0.2382802,-0.1775482,0.17014663,0.5346015,-0.3992894,-0.37095878,-1.4167562,-0.69742197,0.74621356,-1.2853696,-0.33437958,-2.221333,0.50037694,-0.004305467,-1.789192,1.0136567,-2.2876594,0.22820675,0.5784266,1.5750024,-1.644482,-0.91597354,-0.6316058,-0.59985435,-0.114443704,1.5057273,-0.41973376,-1.3601481,-0.5763611,0.1372875,0.38716114,1.2149562,0.3122806,0.26588458,-1.1593956,-2.051503,0.55403125,-0.34290633,-1.0031638,-1.0751388,0.45350778,-0.05622246,1.2218019,-1.0866523,0.44731256,-0.45917165,-0.14911465,-0.63424194,-0.22044425,-0.5853365,0.5387485,-0.7276281,-0.75823617,-0.32753134,-0.50097525,-0.20495121,-0.32892928,-0.23911606,1.6448052,0.100810476,-1.6199338,-0.6279914,-0.9851936
5,-1.0328242,-1.1532948,-0.5864071,1.3250548,1.5141703,-2.125966,0.40290397,-0.90793717,0.18190926,-1.4128968,0.11202464,-1.6953008,0.71207637,0.018596388,0.9047445,-0.34989834,0.43660024,0.4960013,-0.7076098,1.0293102,-1.362588,0.7382039,-0.81295526,0.19115436,0.19209807,-0.06127142,0.1717913,1.0834582,-0.6955927,0.3637288,1.5682591,-0.15216315,0.8395749,0.048323117,-0.14460224,-0.77884716,0.45061666,0.753189,2.0087104,0.64334977,0.13619591,0.7526755,0.5467874,-0.948173,-0.55200326,-0.06226064,-0.9225694,0.434493,0.19990008,0.41754892,0.6432197,1.2094811,-0.17049399,-0.5114723,0.24500786,0.104015626,1.897707,1.4911195,-0.47939998,-1.108803,1.1832997,-0.04544155,-0.5469692,2.9341652,0.62139416,0.5048233,0.98107094,-0.7202953,-0.14009012,-0.3980598,-0.17143023,-2.0710263,0.59915155,-0.7962399,-1.8610438,-0.012839433,-0.023873225,-0.17327525,-1.0168486,-0.3170109,0.15153998,0.96030235,1.6320006,2.5688689,-0.94437075,-0.082612716,1.4113413,0.30416918,-3.2439356,-0.41716012,1.2004615,0.23487484,-1.0529054,0.3568561,-0.6938253,-1.3202622,0.08332762,-1.0128943,-1.6012905,-0.37237602,-2.1249518,1.0872055,-0.3951841,0.2835427,0.37326828,-0.06602682,0.00046556816,-1.1745827,0.06014684,-1.0664722,-0.9406376,-0.5520322,1.1524717,1.1544657,0.2795027,-0.25211263,0.09866775,0.58752733,0.7102787,0.57585007,-0.69643044,0.946838,0.6905147,-1.0166242,0.4462881,-1.4581443,0.13342215,-0.21372297
6,0.5422782,0.72288835,1.5859792,-0.72719467,-1.2799559,0.34493956,0.023010086,0.16461067,0.79847807,-1.6012671,-1.7391589,-2.072209,-0.16414897,0.4555014,0.74789536,-0.36703157,-0.43237677,0.5920133,-0.28010428,-0.9586797,-0.4961367,0.6720766,-1.6995796,-0.9844781,-0.020648256,-0.96546453,-0.75502944,1.2115026,-1.9327767,0.6266188,-1.124714,-0.17713629,-0.99690866,0.976498,0.31165895,-1.2705485,1.3630986,-1.5750599,1.3534744,-0.39314985,1.313387,-1.3274089,-1.0991896,-0.039328724,0.032813497,-0.10911867,1.1044012,-0.37017024,-0.5073631,-1.1320124,-0.08898972,-0.12590168,-1.3153967,-0.816624,0.20501328,-0.42658186,2.5259616,0.22649035,-0.5511781,-0.8578748,0.8484471,0.30414027,-0.09768729,2.8190422,0.8518161,0.8084165,0.5334772,-1.7587942,-0.49227995,-1.6209835,0.5346159,-1.2327572,2.0767274,-1.1329173,-0.13244283,1.2138098,-1.1194202,1.1153543,1.3683546,0.37834245,0.09680552,-0.41663864,1.1497595,0.93506837,1.0003605,-2.1258938,1.2298864,-0.18937019,-1.135334,1.0155048,0.77062035,0.061763115,-1.780629,-0.8553341,-0.67565644,0.41451535,0.33555993,-0.5102584,-0.5905599,0.061023496,-0.81119895,1.8883556,-1.642083,0.09708124,0.2956777,0.6231809,-1.3744202,-0.0585756,0.00027044117,0.12404595,-1.497118,-0.85606873,0.35961553,-0.4634416,-0.9773687,0.09089407,0.72894263,0.65359974,0.07255035,-0.33455223,-0.23330803,0.7603339,0.31083012,0.6762195,0.19355035,-1.0958387,-0.7532562,-1.2266214
7,1.8063006,-0.14092174,-0.768939,-0.5734587,-0.4529208,-1.7521169,-0.7473411,-0.378376,-0.0057432484,0.25885606,0.39466608,-0.72965544,-1.4071172,0.08003041,0.9805068,-0.11523178,0.64077365,0.82131386,-0.049187906,-0.33292428,-0.5291347,0.15674238,0.414888,0.037569173,2.2957878,-0.64599377,-0.22000745,0.16697589,0.18835983,-0.19573624,0.6572968,1.389119,2.051843,0.11956786,0.030131845,-0.15847115,0.40111053,0.640621,-0.35541347,-0.611483,-0.14209412,0.43298405,-0.49751505,-0.22202544,-1.464604,0.15956292,-1.5072292,0.049332358,-1.3549376,-0.115654394,2.0950809,-1.104925,-0.28787628,-0.055082485,1.6065652,0.14800487,0.4132894,0.71705127,-1.1100907,-2.703516,1.1969038,-0.21653573,-0.5753199,1.5498415,1.4902272,-0.14499477,-0.27185073,-0.5599079,0.0034690015,-0.12414837,0.13923985,-1.8446013,0.46065086,-0.6844235,-0.9913163,-0.58188576,0.3231355,-0.35783103,0.34744835,-1.0210139,1.2114785,0.68894804,0.09739619,1.9805253,-0.07190079,-1.2210873,0.5511457,-1.4399639,-0.8071817,-0.010552183,0.37634125,-0.061010525,-0.6790662,0.22837019,-0.4933048,-0.96962684,1.5111496,-0.18402661,-1.6090686,-1.0686307,-2.427131,0.88949007,-0.5118796,-0.47801128,0.36835575,-0.038849756,-0.030073209,-0.567616,0.6582515,0.22947879,-2.3161132,0.7602825,0.876137,-0.52612776,0.14787371,-0.10296412,-0.18678458,-0.8774109,1.084859,-0.34204644,-0.81889087,0.19793929,0.640332,1.0077506,2.2794602,-0.7846583,-1.0230463,0.6892603
8,1.9939936,-0.7439034,-1.5614839,-1.3152144,0.13575856,-1.6892459,0.2483372,-0.056452747,-0.119389765,-0.67539984,-0.674355,-1.8038111,0.07412054,0.17258814,1.7076094,1.180737,0.88060534,-0.10325961,0.49913552,-0.39265713,-1.1055063,0.49416298,-0.9549426,1.1864552,0.9755779,0.4247377,-0.4606333,0.101765916,0.16464972,0.21100421,0.6495949,0.4198276,0.41045126,0.06438231,1.175866,-0.4464181,-0.78481394,0.98181796,0.86166376,1.2506245,-0.6563409,0.26457605,1.5713861,-1.4452035,-0.31876266,-1.0970693,-0.73284656,1.0769818,-1.0140555,-0.4045655,0.530998,0.147254,-1.1673374,0.50429404,-0.19181247,-0.5862307,0.9113793,0.56146854,-0.34899655,-0.86298835,0.44368246,0.24718122,-0.22914183,2.480756,0.3072995,0.039588258,0.4862787,-0.28715855,0.28009295,0.01130129,0.8068298,-2.2853503,1.0936139,-1.6794577,-0.30744514,-0.5280871,0.12775259,-0.46349698,-0.6569449,-2.1595635,1.016145,0.6437907,-0.70748055,0.75743884,0.21809727,-1.7784979,0.47768584,-2.0134113,-1.2011017,-0.028392106,1.3538668,-0.5012684,-0.24823423,-1.1393676,-1.3403273,0.11698521,0.28980058,-0.055086747,-2.1643963,0.5570927,-1.2482138,1.0230701,0.667043,0.14419913,0.21189436,-0.4863369,-0.5214472,-0.6205683,-0.3503664,0.35954842,-0.68790275,0.25600076,0.9142482,-0.21547957,-0.20315357,-1.8725436,-0.41586122,0.69977725,0.562252,-0.399716,0.38283944,0.99789023,0.96757627,0.2257841,1.4683897,-1.2875954,-0.71343046,-0.63453525
9,1.2787064,-0.39782658,-0.34889287,-1.3533176,0.39708045,-0.32441622,-1.4293005,-0.101405725,0.5085233,-0.7348461,-0.95651525,-0.52171147,-1.2182114,-0.12962839,0.49191722,-0.2286084,1.542221,0.5891064,0.39058134,-1.5748588,-0.8729603,-0.3522011,-0.044807985,-0.29687732,3.357327,0.44764185,0.2454071,1.111094,0.51584095,-0.29837954,0.15245545,0.67800254,1.6429186,-0.80123436,0.115775704,0.26924983,1.3002728,0.7596649,-0.8080068,0.352075,0.37139985,-0.0892353,-0.7101176,0.9795778,-0.6304989,-0.5412332,-1.313469,-0.6822891,-0.055328716,-0.76554835,-0.18336895,-1.4171788,0.29549733,0.18797664,0.7292046,1.3174949,1.6803241,-1.4437228,-0.22511414,-0.41710395,0.32386464,0.25800633,-0.21853274,1.4043945,-0.03134401,0.43990892,-0.35509542,-0.57107055,1.0149407,-0.76757216,-0.6437555,-0.01909814,-0.25085428,-1.0687041,0.17298941,-0.478928,-0.28032187,-0.6523923,1.5358009,-0.6146523,0.80109507,0.27269274,-0.11246619,0.72184604,1.111844,-1.1459031,0.8697775,-0.69022477,0.13336074,2.3564992,-0.011693932,-0.47110677,-1.5052888,-1.8328764,-1.323671,0.3910845,0.32269728,-1.161242,-0.967831,-0.30454582,-0.20751528,1.005248,-0.18207455,-1.297199,1.431531,0.041481435,-1.3970331,-1.5318995,1.0638595,-0.75407577,-1.6450287,0.3636698,-0.15122063,-0.29661205,0.3858465,-0.99677217,-0.70919335,0.71747583,2.691945,-0.18003571,1.4937531,-0.7254751,0.43703282,1.7460614,1.715871,-1.0176593,0.9779977,0.62971175
10,0.7908902,0.17371199,0.74304056,-0.8734589,0.15131451,-0.63498473,-0.058160625,-0.9870042,-0.4166457,0.49061266,0.5651664,-1.72335,-2.8635342,0.36451647,-0.21743053,-0.3833061,0.44518888,0.5280866,0.24268357,-1.9870601,-0.39302123,-0.5473273,-0.109969944,-0.80253315,1.379397,-0.14489758,0.40879387,0.47424558,-1.4170511,0.8468906,0.4160143,1.8414665,-0.5003274,0.95782435,0.60877776,0.10554549,1.0108429,1.3399587,-0.21021059,0.6574285,1.3727336,-0.71960026,-0.23031408,1.1440318,-0.50431466,-0.40454116,-0.04162292,-0.559731,0.11985816,-0.816687,-0.30495203,0.1387792,0.5329448,-1.1665049,0.03583738,1.5032495,1.042128,1.0834261,-0.70134795,-2.288654,0.71921974,0.5371355,-1.6595773,2.7997484,0.32690015,0.2608719,0.1069458,-0.006661703,0.7182537,-0.17576489,0.39291397,-1.6312308,1.3761053,-0.54596084,-0.5489763,0.3718365,0.10358243,0.4807979,-1.5203378,-0.90927017,0.95835817,-0.24072126,0.33890375,1.3537621,0.072235934,-1.1280702,1.0115108,-0.74567086,-1.2640295,0.74706376,-0.8941346,-1.0444673,-0.5681593,-0.48061934,0.9753728,-0.64430356,0.42225003,-0.77738583,0.04455082,0.2554999,-2.4029777,1.9852653,-1.4958153,-2.1140697,0.86524546,0.05871684,0.45391318,0.45249158,0.35655475,-1.6447879,-1.6609362,0.9996851,0.45307243,0.54047674,-0.6703972,1.7476403,0.6343225,-0.22038677,-0.5224517,0.9138081,0.08767749,-0.3788231,0.60709035,0.44726104,1.1597291,-1.3609338,0.069341026,0.87483865
